mouse,group,condition,laser,time_min,cum_lick_pct
652_2,control,stim,ON,15.0,71.42857142857143
652_2,control,stim,OFF,18.0,73.4126984126984
652_2,control,stim,ON,21.0,73.80952380952381
652_2,control,stim,OFF,24.0,88.88888888888889
652_2,control,stim,ON,27.0,90.47619047619048
652_2,control,stim,OFF,30.0,91.66666666666666
652_2,control,stim,ON,33.0,91.66666666666666
652_2,control,stim,OFF,36.0,91.66666666666666
652_2,control,stim,ON,39.0,92.46031746031747
652_2,control,stim,OFF,42.0,92.46031746031747
652_2,control,stim,ON,45.0,92.46031746031747
652_2,control,stim,OFF,48.0,95.63492063492063
652_2,control,stim,ON,51.0,100.0
652_2,control,stim,OFF,54.0,100.0
652_2,control,stim,ON,57.0,100.0
652_3,control,mock,OFF,0.0,5.227272727272727
652_3,control,mock,ON,3.0,13.295454545454547
652_3,control,mock,OFF,6.0,16.818181818181817
652_3,control,mock,ON,9.0,22.15909090909091
652_3,control,mock,OFF,12.0,25.795454545454543
652_3,control,mock,ON,15.0,33.97727272727273
652_3,control,mock,OFF,18.0,35.90909090909091
652_3,control,mock,ON,21.0,45.56818181818182
652_3,control,mock,OFF,24.0,54.31818181818182
652_3,control,mock,ON,27.0,56.81818181818182
652_3,control,mock,OFF,30.0,56.81818181818182
652_3,control,mock,ON,33.0,60.11363636363637
652_3,control,mock,OFF,36.0,62.84090909090909
652_3,control,mock,ON,39.0,69.31818181818183
652_3,control,mock,OFF,42.0,73.52272727272727
652_3,control,mock,ON,45.0,75.45454545454545
652_3,control,mock,OFF,48.0,82.27272727272728
652_3,control,mock,ON,51.0,84.77272727272728
652_3,control,mock,OFF,54.0,93.97727272727273
652_3,control,mock,ON,57.0,100.0
652_3,control,stim,OFF,0.0,16.80672268907563
652_3,control,stim,ON,3.0,62.18487394957983
652_3,control,stim,OFF,6.0,64.70588235294117
652_3,control,stim,ON,9.0,75.84033613445378
652_3,control,stim,OFF,12.0,76.05042016806722
652_3,control,stim,ON,15.0,76.05042016806722
652_3,control,stim,OFF,18.0,84.66386554621849
652_3,control,stim,ON,21.0,84.66386554621849
652_3,control,stim,OFF,24.0,84.66386554621849
652_3,control,stim,ON,27.0,84.66386554621849
652_3,control,stim,OFF,30.0,84.66386554621849
652_3,control,stim,ON,33.0,84.66386554621849
652_3,control,stim,OFF,36.0,96.00840336134453
652_3,control,stim,ON,39.0,96.00840336134453
652_3,control,stim,OFF,42.0,96.00840336134453
652_3,control,stim,ON,45.0,96.00840336134453
652_3,control,stim,OFF,48.0,96.00840336134453
652_3,control,stim,ON,51.0,97.05882352941177
652_3,control,stim,OFF,54.0,97.05882352941177
652_3,control,stim,ON,57.0,100.0
652_4,control,mock,OFF,0.0,15.869017632241814
652_4,control,mock,ON,3.0,41.81360201511335
652_4,control,mock,OFF,6.0,43.07304785894207
652_4,control,mock,ON,9.0,51.385390428211586
652_4,control,mock,OFF,12.0,51.88916876574308
652_4,control,mock,ON,15.0,51.88916876574308
652_4,control,mock,OFF,18.0,52.141057934508815
652_4,control,mock,ON,21.0,57.68261964735516
652_4,control,mock,OFF,24.0,65.23929471032746
652_4,control,mock,ON,27.0,65.23929471032746
652_4,control,mock,OFF,30.0,88.41309823677582
652_4,control,mock,ON,33.0,88.41309823677582
652_4,control,mock,OFF,36.0,88.41309823677582
652_4,control,mock,ON,39.0,89.67254408060454
652_4,control,mock,OFF,42.0,91.68765743073047
652_4,control,mock,ON,45.0,91.68765743073047
652_4,control,mock,OFF,48.0,99.24433249370277
652_4,control,mock,ON,51.0,99.49622166246851
652_4,control,mock,OFF,54.0,100.0
652_4,control,mock,ON,57.0,100.0
652_4,control,stim,OFF,0.0,27.82608695652174
652_4,control,stim,ON,3.0,28.000000000000004
652_4,control,stim,OFF,6.0,74.43478260869566
652_4,control,stim,ON,9.0,77.21739130434783
652_4,control,stim,OFF,12.0,78.08695652173913
652_4,control,stim,ON,15.0,78.26086956521739
652_4,control,stim,OFF,18.0,78.43478260869566
652_4,control,stim,ON,21.0,78.78260869565217
652_4,control,stim,OFF,24.0,80.0
652_4,control,stim,ON,27.0,82.78260869565217
652_4,control,stim,OFF,30.0,83.1304347826087
652_4,control,stim,ON,33.0,83.1304347826087
652_4,control,stim,OFF,36.0,83.30434782608695
652_4,control,stim,ON,39.0,83.82608695652173
652_4,control,stim,OFF,42.0,89.04347826086956
652_4,control,stim,ON,45.0,89.39130434782608
652_4,control,stim,OFF,48.0,90.26086956521739
652_4,control,stim,ON,51.0,98.60869565217392
652_4,control,stim,OFF,54.0,100.0
652_4,control,stim,ON,57.0,100.0
653_3,bla,mock,OFF,0.0,23.919753086419753
653_3,bla,mock,ON,3.0,35.49382716049383
653_3,bla,mock,OFF,6.0,47.376543209876544
653_3,bla,mock,ON,9.0,50.77160493827161
653_3,bla,mock,OFF,12.0,54.78395061728395
653_3,bla,mock,ON,15.0,64.6604938271605
653_3,bla,mock,OFF,18.0,73.61111111111111
653_3,bla,mock,ON,21.0,85.9567901234568
653_3,bla,mock,OFF,24.0,85.9567901234568
653_3,bla,mock,ON,27.0,85.9567901234568
653_3,bla,mock,OFF,30.0,99.22839506172839
653_3,bla,mock,ON,33.0,99.38271604938271
653_3,bla,mock,OFF,36.0,100.0
653_3,bla,mock,ON,39.0,100.0
653_3,bla,mock,OFF,42.0,100.0
653_3,bla,mock,ON,45.0,100.0
653_3,bla,mock,OFF,48.0,100.0
653_3,bla,mock,ON,51.0,100.0
653_3,bla,mock,OFF,54.0,100.0
653_3,bla,mock,ON,57.0,100.0
